item1,item2,sim
i422,i387,0.4
i530,i205,0.4
i76,i450,0.4
i256,i271,0.4
i256,i420,0.4
i420,i387,0.4
i256,i50,0.4
i530,i373,0.4
i456,i439,0.4
i511,i248,0.4
i410,i71,0.4
i181,i271,0.4
i204,i415,0.4
i114,i17,0.4
i388,i557,0.4
i472,i511,0.4
i114,i330,0.4
i543,i369,0.4
i42,i402,0.4
i543,i357,0.4
i543,i129,0.4
i410,i10,0.4
i557,i506,0.4
i277,i10,0.4
i402,i76,0.4
i271,i17,0.4
i271,i132,0.4
i543,i456,0.4
i271,i387,0.4
i158,i128,0.4
i181,i403,0.4
i181,i158,0.4
i181,i114,0.4
i511,i437,0.4
i181,i422,0.4
i422,i330,0.4
i204,i437,0.4
i4,i277,0.4
i543,i511,0.4
i501,i557,0.4
i410,i61,0.4
i114,i132,0.4
i114,i387,0.4
i204,i439,0.4
i374,i330,0.4
i482,i459,0.4
i33,i225,0.4
i482,i326,0.4
i277,i414,0.4
i374,i387,0.4
i374,i132,0.4
i374,i17,0.4
i557,i74,0.4
i418,i393,0.4
i482,i555,0.4
i33,i119,0.4
i482,i346,0.4
i205,i302,0.4
i205,i466,0.4
i330,i272,0.4
i158,i456,0.4
i412,i422,0.4
i330,i346,0.4
i374,i181,0.4
i374,i482,0.4
i410,i414,0.4
i374,i256,0.4
i482,i272,0.4
i516,i393,0.4
i473,i238,0.4
i42,i231,0.4
i188,i380,0.4
i418,i450,0.4
i204,i128,0.4
i118,i157,0.4
i181,i420,0.4
i158,i357,0.4
i204,i50,0.4
i204,i248,0.4
i456,i437,0.4
i204,i76,0.4
i402,i50,0.4
i231,i248,0.4
i158,i129,0.4
i181,i555,0.4
i231,i298,0.4
i277,i388,0.4
i181,i346,0.4
i204,i543,0.4
i277,i71,0.4
i171,i557,0.4
i506,i118,0.4
i414,i466,0.4
i277,i61,0.4
i456,i128,0.4
i171,i33,0.4
i402,i248,0.4
i181,i272,0.4
i472,i231,0.4
i171,i273,0.4
i402,i298,0.4
i494,i380,0.4
i204,i298,0.4
i231,i76,0.4
i158,i369,0.4
i456,i415,0.4
i557,i157,0.4
i557,i476,0.4
i181,i506,0.4
i231,i50,0.4
i181,i128,0.4
i204,i472,0.4
i181,i459,0.4
i54,i459,0.4
i171,i118,0.4
i410,i388,0.4
i181,i50,0.4
i181,i326,0.4
i181,i205,0.4
i530,i68,0.26666666666666666
i330,i138,0.26666666666666666
i165,i410,0.26666666666666666
i330,i338,0.26666666666666666
i47,i222,0.26666666666666666
i17,i454,0.26666666666666666
i514,i277,0.26666666666666666
i412,i367,0.26666666666666666
i330,i454,0.26666666666666666
i530,i64,0.26666666666666666
i277,i436,0.26666666666666666
i165,i277,0.26666666666666666
i277,i397,0.26666666666666666
i273,i14,0.26666666666666666
i514,i71,0.26666666666666666
i47,i104,0.26666666666666666
i17,i100,0.26666666666666666
i450,i92,0.26666666666666666
i128,i92,0.26666666666666666
i259,i450,0.26666666666666666
i259,i456,0.26666666666666666
i511,i234,0.26666666666666666
i511,i301,0.26666666666666666
i231,i92,0.26666666666666666
i17,i138,0.26666666666666666
i259,i232,0.26666666666666666
i259,i302,0.26666666666666666
i273,i328,0.26666666666666666
i330,i100,0.26666666666666666
i330,i174,0.26666666666666666
i165,i54,0.26666666666666666
i511,i170,0.26666666666666666
i511,i68,0.26666666666666666
i47,i466,0.26666666666666666
i514,i356,0.26666666666666666
i514,i33,0.26666666666666666
i47,i302,0.26666666666666666
i165,i85,0.26666666666666666
i514,i268,0.26666666666666666
i259,i76,0.26666666666666666
i511,i92,0.26666666666666666
i273,i397,0.26666666666666666
i557,i397,0.26666666666666666
i165,i232,0.26666666666666666
i259,i369,0.26666666666666666
i259,i466,0.26666666666666666
i165,i302,0.26666666666666666
i165,i466,0.26666666666666666
i50,i92,0.26666666666666666
i277,i554,0.26666666666666666
i165,i425,0.26666666666666666
i330,i243,0.26666666666666666
i17,i338,0.26666666666666666
i514,i410,0.26666666666666666
i259,i357,0.26666666666666666
i514,i273,0.26666666666666666
i330,i92,0.26666666666666666
i259,i85,0.26666666666666666
i231,i170,0.26666666666666666
i47,i232,0.26666666666666666
i412,i187,0.26666666666666666
i259,i129,0.26666666666666666
i165,i530,0.26666666666666666
i47,i527,0.26666666666666666
i557,i234,0.26666666666666666
i47,i441,0.26666666666666666
i557,i328,0.26666666666666666
i511,i328,0.26666666666666666
i557,i14,0.26666666666666666
i357,i170,0.26666666666666666
i412,i430,0.26666666666666666
i158,i92,0.26666666666666666
i486,i104,0.26666666666666666
i486,i527,0.26666666666666666
i365,i76,0.26666666666666666
i547,i425,0.26666666666666666
i365,i456,0.26666666666666666
i365,i450,0.26666666666666666
i402,i328,0.26666666666666666
i365,i129,0.26666666666666666
i365,i357,0.26666666666666666
i365,i369,0.26666666666666666
i130,i118,0.26666666666666666
i165,i356,0.26666666666666666
i232,i64,0.26666666666666666
i232,i68,0.26666666666666666
i130,i466,0.26666666666666666
i130,i302,0.26666666666666666
i130,i232,0.26666666666666666
i130,i85,0.26666666666666666
i356,i130,0.26666666666666666
i356,i47,0.26666666666666666
i530,i436,0.26666666666666666
i356,i261,0.26666666666666666
i486,i222,0.26666666666666666
i486,i441,0.26666666666666666
i402,i301,0.26666666666666666
i486,i189,0.26666666666666666
i181,i430,0.26666666666666666
i181,i202,0.26666666666666666
i181,i47,0.26666666666666666
i181,i174,0.26666666666666666
i181,i338,0.26666666666666666
i181,i454,0.26666666666666666
i181,i138,0.26666666666666666
i181,i100,0.26666666666666666
i181,i243,0.26666666666666666
i181,i92,0.26666666666666666
i231,i67,0.26666666666666666
i436,i232,0.26666666666666666
i436,i302,0.26666666666666666
i436,i466,0.26666666666666666
i231,i259,0.26666666666666666
i231,i261,0.26666666666666666
i277,i64,0.26666666666666666
i277,i68,0.26666666666666666
i231,i365,0.26666666666666666
i486,i21,0.26666666666666666
i402,i234,0.26666666666666666
i356,i259,0.26666666666666666
i356,i461,0.26666666666666666
i356,i224,0.26666666666666666
i138,i460,0.26666666666666666
i512,i357,0.26666666666666666
i130,i277,0.26666666666666666
i512,i393,0.26666666666666666
i512,i369,0.26666666666666666
i130,i410,0.26666666666666666
i130,i273,0.26666666666666666
i530,i461,0.26666666666666666
i130,i131,0.26666666666666666
i402,i170,0.26666666666666666
i460,i127,0.26666666666666666
i460,i68,0.26666666666666666
i67,i425,0.26666666666666666
i67,i369,0.26666666666666666
i402,i92,0.26666666666666666
i67,i357,0.26666666666666666
i67,i129,0.26666666666666666
i67,i62,0.26666666666666666
i67,i54,0.26666666666666666
i67,i456,0.26666666666666666
i402,i68,0.26666666666666666
i530,i261,0.26666666666666666
i512,i129,0.26666666666666666
i512,i456,0.26666666666666666
i356,i397,0.26666666666666666
i512,i511,0.26666666666666666
i356,i554,0.26666666666666666
i356,i436,0.26666666666666666
i356,i64,0.26666666666666666
i356,i68,0.26666666666666666
i130,i164,0.26666666666666666
i530,i554,0.26666666666666666
i76,i92,0.26666666666666666
i437,i170,0.26666666666666666
i130,i557,0.26666666666666666
i328,i369,0.26666666666666666
i530,i397,0.26666666666666666
i328,i118,0.26666666666666666
i130,i388,0.26666666666666666
i130,i530,0.26666666666666666
i302,i64,0.26666666666666666
i302,i68,0.26666666666666666
i530,i224,0.26666666666666666
i512,i204,0.26666666666666666
i512,i402,0.26666666666666666
i512,i231,0.26666666666666666
i130,i71,0.26666666666666666
i181,i367,0.26666666666666666
i402,i67,0.26666666666666666
i402,i259,0.26666666666666666
i202,i330,0.26666666666666666
i397,i104,0.26666666666666666
i397,i527,0.26666666666666666
i397,i118,0.26666666666666666
i430,i420,0.26666666666666666
i510,i170,0.26666666666666666
i430,i17,0.26666666666666666
i430,i132,0.26666666666666666
i430,i387,0.26666666666666666
i510,i69,0.26666666666666666
i510,i67,0.26666666666666666
i62,i69,0.26666666666666666
i273,i202,0.26666666666666666
i62,i170,0.26666666666666666
i430,i54,0.26666666666666666
i430,i459,0.26666666666666666
i10,i68,0.26666666666666666
i554,i232,0.26666666666666666
i554,i302,0.26666666666666666
i554,i466,0.26666666666666666
i202,i387,0.26666666666666666
i202,i132,0.26666666666666666
i397,i222,0.26666666666666666
i397,i466,0.26666666666666666
i202,i557,0.26666666666666666
i397,i441,0.26666666666666666
i165,i268,0.26666666666666666
i412,i202,0.26666666666666666
i412,i47,0.26666666666666666
i412,i174,0.26666666666666666
i273,i234,0.26666666666666666
i119,i397,0.26666666666666666
i85,i397,0.26666666666666666
i85,i554,0.26666666666666666
i85,i436,0.26666666666666666
i85,i64,0.26666666666666666
i85,i68,0.26666666666666666
i412,i338,0.26666666666666666
i412,i454,0.26666666666666666
i412,i138,0.26666666666666666
i412,i100,0.26666666666666666
i231,i328,0.26666666666666666
i412,i243,0.26666666666666666
i412,i92,0.26666666666666666
i430,i330,0.26666666666666666
i397,i232,0.26666666666666666
i397,i302,0.26666666666666666
i202,i17,0.26666666666666666
i430,i425,0.26666666666666666
i402,i261,0.26666666666666666
i482,i367,0.26666666666666666
i482,i430,0.26666666666666666
i482,i202,0.26666666666666666
i482,i47,0.26666666666666666
i482,i174,0.26666666666666666
i367,i330,0.26666666666666666
i393,i243,0.26666666666666666
i482,i338,0.26666666666666666
i482,i454,0.26666666666666666
i482,i138,0.26666666666666666
i482,i100,0.26666666666666666
i482,i243,0.26666666666666666
i482,i92,0.26666666666666666
i461,i302,0.26666666666666666
i461,i232,0.26666666666666666
i216,i243,0.26666666666666666
i472,i67,0.26666666666666666
i461,i85,0.26666666666666666
i461,i54,0.26666666666666666
i461,i164,0.26666666666666666
i238,i100,0.26666666666666666
i402,i365,0.26666666666666666
i461,i466,0.26666666666666666
i461,i425,0.26666666666666666
i369,i68,0.26666666666666666
i466,i64,0.26666666666666666
i369,i92,0.26666666666666666
i369,i170,0.26666666666666666
i69,i238,0.26666666666666666
i129,i328,0.26666666666666666
i129,i170,0.26666666666666666
i129,i92,0.26666666666666666
i129,i68,0.26666666666666666
i131,i461,0.26666666666666666
i131,i224,0.26666666666666666
i231,i301,0.26666666666666666
i298,i328,0.26666666666666666
i298,i234,0.26666666666666666
i231,i234,0.26666666666666666
i357,i328,0.26666666666666666
i514,i388,0.26666666666666666
i357,i92,0.26666666666666666
i357,i68,0.26666666666666666
i367,i387,0.26666666666666666
i367,i132,0.26666666666666666
i367,i17,0.26666666666666666
i466,i68,0.26666666666666666
i514,i530,0.26666666666666666
i530,i259,0.26666666666666666
i456,i68,0.26666666666666666
i224,i232,0.26666666666666666
i204,i68,0.26666666666666666
i508,i450,0.26666666666666666
i195,i527,0.26666666666666666
i261,i466,0.26666666666666666
i195,i104,0.26666666666666666
i202,i118,0.26666666666666666
i195,i222,0.26666666666666666
i224,i466,0.26666666666666666
i47,i530,0.26666666666666666
i261,i302,0.26666666666666666
i224,i302,0.26666666666666666
i410,i47,0.26666666666666666
i224,i85,0.26666666666666666
i33,i130,0.26666666666666666
i195,i441,0.26666666666666666
i387,i338,0.26666666666666666
i261,i232,0.26666666666666666
i387,i454,0.26666666666666666
i387,i138,0.26666666666666666
i387,i100,0.26666666666666666
i202,i506,0.26666666666666666
i387,i243,0.26666666666666666
i256,i174,0.26666666666666666
i92,i272,0.26666666666666666
i336,i238,0.26666666666666666
i387,i92,0.26666666666666666
i204,i92,0.26666666666666666
i164,i224,0.26666666666666666
i204,i170,0.26666666666666666
i268,i436,0.26666666666666666
i204,i67,0.26666666666666666
i187,i104,0.26666666666666666
i410,i259,0.26666666666666666
i256,i100,0.26666666666666666
i187,i527,0.26666666666666666
i268,i68,0.26666666666666666
i277,i47,0.26666666666666666
i256,i138,0.26666666666666666
i189,i14,0.26666666666666666
i410,i261,0.26666666666666666
i256,i454,0.26666666666666666
i54,i547,0.26666666666666666
i268,i64,0.26666666666666666
i47,i85,0.26666666666666666
i204,i234,0.26666666666666666
i189,i170,0.26666666666666666
i204,i301,0.26666666666666666
i256,i338,0.26666666666666666
i187,i272,0.26666666666666666
i204,i328,0.26666666666666666
i261,i369,0.26666666666666666
i189,i554,0.26666666666666666
i301,i369,0.26666666666666666
i301,i357,0.26666666666666666
i301,i129,0.26666666666666666
i256,i47,0.26666666666666666
i118,i14,0.26666666666666666
i204,i259,0.26666666666666666
i261,i456,0.26666666666666666
i33,i14,0.26666666666666666
i234,i357,0.26666666666666666
i234,i129,0.26666666666666666
i234,i509,0.26666666666666666
i47,i387,0.26666666666666666
i88,i460,0.26666666666666666
i47,i132,0.26666666666666666
i154,i530,0.26666666666666666
i268,i130,0.26666666666666666
i268,i461,0.26666666666666666
i268,i259,0.26666666666666666
i154,i277,0.26666666666666666
i47,i17,0.26666666666666666
i195,i164,0.26666666666666666
i154,i410,0.26666666666666666
i268,i261,0.26666666666666666
i268,i47,0.26666666666666666
i253,i92,0.26666666666666666
i154,i356,0.26666666666666666
i253,i259,0.26666666666666666
i253,i365,0.26666666666666666
i154,i268,0.26666666666666666
i253,i508,0.26666666666666666
i71,i397,0.26666666666666666
i174,i17,0.26666666666666666
i174,i132,0.26666666666666666
i33,i328,0.26666666666666666
i500,i397,0.26666666666666666
i33,i397,0.26666666666666666
i154,i85,0.26666666666666666
i234,i118,0.26666666666666666
i256,i202,0.26666666666666666
i261,i357,0.26666666666666666
i234,i369,0.26666666666666666
i154,i466,0.26666666666666666
i410,i554,0.26666666666666666
i500,i187,0.26666666666666666
i261,i129,0.26666666666666666
i47,i205,0.26666666666666666
i256,i430,0.26666666666666666
i268,i554,0.26666666666666666
i154,i302,0.26666666666666666
i154,i232,0.26666666666666666
i33,i202,0.26666666666666666
i500,i486,0.26666666666666666
i268,i397,0.26666666666666666
i256,i367,0.26666666666666666
i500,i195,0.26666666666666666
i261,i85,0.26666666666666666
i388,i397,0.26666666666666666
i500,i47,0.26666666666666666
i410,i397,0.26666666666666666
i305,i170,0.26666666666666666
i33,i234,0.26666666666666666
i268,i224,0.26666666666666666
i187,i222,0.26666666666666666
i174,i387,0.26666666666666666
i204,i261,0.26666666666666666
i17,i92,0.26666666666666666
i456,i301,0.26666666666666666
i380,i69,0.26666666666666666
i132,i138,0.26666666666666666
i456,i170,0.26666666666666666
i132,i454,0.26666666666666666
i132,i338,0.26666666666666666
i187,i450,0.26666666666666666
i132,i100,0.26666666666666666
i514,i118,0.26666666666666666
i456,i234,0.26666666666666666
i174,i460,0.26666666666666666
i231,i68,0.26666666666666666
i514,i85,0.26666666666666666
i187,i441,0.26666666666666666
i410,i68,0.26666666666666666
i187,i253,0.26666666666666666
i511,i67,0.26666666666666666
i132,i243,0.26666666666666666
i187,i330,0.26666666666666666
i256,i92,0.26666666666666666
i187,i256,0.26666666666666666
i132,i92,0.26666666666666666
i410,i436,0.26666666666666666
i187,i387,0.26666666666666666
i98,i138,0.26666666666666666
i187,i181,0.26666666666666666
i256,i243,0.26666666666666666
i456,i92,0.26666666666666666
i187,i132,0.26666666666666666
i187,i482,0.26666666666666666
i511,i261,0.26666666666666666
i380,i170,0.26666666666666666
i511,i259,0.26666666666666666
i456,i328,0.26666666666666666
i380,i67,0.26666666666666666
i514,i466,0.26666666666666666
i277,i261,0.26666666666666666
i410,i461,0.26666666666666666
i514,i232,0.26666666666666666
i410,i224,0.26666666666666666
i277,i224,0.26666666666666666
i511,i365,0.26666666666666666
i17,i243,0.26666666666666666
i410,i64,0.26666666666666666
i47,i330,0.26666666666666666
i277,i259,0.26666666666666666
i187,i17,0.26666666666666666
i204,i365,0.26666666666666666
i514,i302,0.26666666666666666
i514,i557,0.26666666666666666
i277,i461,0.26666666666666666
i27,i232,0.2
i447,i131,0.2
i447,i422,0.2
i447,i271,0.2
i447,i520,0.2
i209,i232,0.2
i305,i543,0.2
i220,i17,0.2
i225,i506,0.2
i472,i50,0.2
i402,i107,0.2
i466,i561,0.2
i158,i76,0.2
i205,i296,0.2
i410,i220,0.2
i199,i231,0.2
i447,i114,0.2
i225,i388,0.2
i268,i384,0.2
i114,i272,0.2
i205,i457,0.2
i155,i232,0.2
i482,i220,0.2
i501,i476,0.2
i388,i157,0.2
i447,i403,0.2
i205,i459,0.2
i205,i326,0.2
i33,i384,0.2
i220,i132,0.2
i388,i518,0.2
i205,i133,0.2
i447,i226,0.2
i447,i158,0.2
i27,i118,0.2
i225,i298,0.2
i305,i346,0.2
i225,i74,0.2
i447,i420,0.2
i158,i298,0.2
i356,i70,0.2
i447,i50,0.2
i305,i128,0.2
i472,i248,0.2
i447,i459,0.2
i27,i466,0.2
i33,i561,0.2
i447,i326,0.2
i305,i50,0.2
i472,i298,0.2
i42,i50,0.2
i42,i248,0.2
i158,i346,0.2
i42,i298,0.2
i42,i76,0.2
i305,i248,0.2
i447,i555,0.2
i447,i346,0.2
i209,i466,0.2
i447,i272,0.2
i209,i302,0.2
i114,i555,0.2
i305,i298,0.2
i225,i476,0.2
i30,i408,0.2
i504,i357,0.2
i504,i129,0.2
i114,i346,0.2
i305,i76,0.2
i447,i205,0.2
i463,i85,0.2
i306,i460,0.2
i209,i369,0.2
i27,i425,0.2
i447,i128,0.2
i30,i311,0.2
i466,i276,0.2
i225,i157,0.2
i27,i302,0.2
i504,i85,0.2
i357,i289,0.2
i27,i369,0.2
i158,i248,0.2
i447,i506,0.2
i305,i472,0.2
i205,i128,0.2
i298,i439,0.2
i71,i506,0.2
i123,i476,0.2
i123,i157,0.2
i131,i93,0.2
i307,i504,0.2
i131,i373,0.2
i414,i10,0.2
i268,i220,0.2
i123,i96,0.2
i131,i205,0.2
i347,i4,0.2
i158,i95,0.2
i298,i157,0.2
i155,i118,0.2
i71,i205,0.2
i71,i74,0.2
i131,i457,0.2
i71,i373,0.2
i298,i415,0.2
i131,i296,0.2
i10,i71,0.2
i347,i131,0.2
i298,i476,0.2
i71,i93,0.2
i71,i384,0.2
i347,i414,0.2
i244,i527,0.2
i244,i104,0.2
i129,i19,0.2
i472,i128,0.2
i347,i71,0.2
i347,i418,0.2
i437,i346,0.2
i71,i296,0.2
i70,i425,0.2
i244,i380,0.2
i129,i289,0.2
i551,i425,0.2
i131,i10,0.2
